"","sd","Q25","IQR","sp.ent","sfm","mode","meanfun","label"
"1",0.0642412677031359,0.0150714886459209,0.0751219512195122,0.893369416700807,0.491917766397811,0,0.084279106440321,"male"
"2",0.0673100287952527,0.0194138670478914,0.0732523230879199,0.892193242265734,0.513723842537073,0,0.107936553670454,"male"
"3",0.0838294209445061,0.00870105655686762,0.123206960845246,0.846389091878782,0.478904979116727,0,0.0987062615673936,"male"
"5",0.0791461004935869,0.0787202178352621,0.127324710687543,0.971955076212905,0.783568057553871,0.1042614023145,0.106397844620363,"male"
"8",0.0767668848761485,0.110532168387609,0.121429706115965,0.959254569785851,0.719857907046562,0.128324066719619,0.093052430337196,"male"
"9",0.0780184624458836,0.0882062780269058,0.120381165919283,0.97072293218034,0.770992054490076,0.219103139013453,0.0967289462068476,"male"
"10",0.0803500276143771,0.0755799890049478,0.126377130291369,0.975246142524797,0.804505253038031,0.011698735568994,0.105880926304665,"male"
"11",0.0719429306811688,0.101429933269781,0.115309818875119,0.96524913928741,0.733692877928757,0.0963584366062917,0.0888939829948002,"male"
"12",0.0770539929982884,0.087313829787234,0.115425531914894,0.966003775055692,0.752042012692436,0.0121010638297872,0.104199318686673,"male"
"13",0.0808767069335911,0.0831448992852502,0.126081871345029,0.96351352778845,0.736149955067445,0.108434048083171,0.0926440193108201,"male"
"14",0.0600420545194889,0.128838821490468,0.100693240901213,0.937445760468646,0.537079994941026,0.219826689774697,0.131503722276956,"male"
"16",0.0694110453235828,0.115601979109401,0.112677295217152,0.950972024663856,0.635199178449614,0.0500274876305662,0.102045991451092,"male"
"19",0.074120817065231,0.115755909840572,0.124068169323804,0.934523379604557,0.55974231826604,0.0600329851566795,0.0834840221276007,"male"
"22",0.0743693038331353,0.128673139158576,0.125501618122977,0.915284119626616,0.475317470815803,0.0599568500539374,0.0986434101933255,"male"
"23",0.072448898313093,0.113929618768328,0.113519061583578,0.927014678290766,0.542422403541936,0.059941348973607,0.0625416438604246,"male"
"24",0.0751049460722898,0.123988842398884,0.126136680613668,0.913832253608624,0.487965715691965,0.0599442119944212,0.0776984149257884,"male"
"25",0.0766147644560479,0.120924040720439,0.116319498825372,0.933029647028206,0.567423613537129,0.0600783085356304,0.0989441461784293,"male"
"26",0.07536177235918,0.118698328935796,0.121776605101143,0.940668790234324,0.604020485106291,0.0599648197009675,0.0829626113523638,"male"
"27",0.0756345139572698,0.116706484641638,0.121843003412969,0.929498042215949,0.543708544075529,0.0599658703071672,0.0824513207182936,"male"
"28",0.0717781520946695,0.12580050293378,0.122514668901928,0.902275256056735,0.477745723075478,0.128147527242246,0.130598327687847,"male"
"30",0.0708669980737599,0.12954128440367,0.122935779816514,0.853114893695345,0.313426449697903,0.133577981651376,0.126607440767276,"male"
"31",0.0740311299735897,0.0927311827956989,0.121634408602151,0.973217841619629,0.807551708402321,0.216774193548387,0.067407498731641,"male"
"32",0.075961167558551,0.122075055187638,0.123002207505519,0.915784869319231,0.560406695288123,0.127019867549669,0.127719891241989,"male"
